position_error,time
4.380629,20.308236
4.377936,20.370618
4.375865,20.406012
4.377955,20.456042
4.375707,20.527336
4.375302,20.553617
4.374811,20.603343
4.375186,20.653198
4.374587,20.703654
4.374979,20.754252
4.375447,20.803053
4.373615,20.87418
4.372775,20.90025
4.372896,20.950571
4.373186,21.002423
4.371286,21.050033
4.371088,21.100469
4.36925,21.169794
4.370519,21.205649
4.370504,21.278603
4.367948,21.307059
4.36465,21.356359
4.361968,21.404646
1.752382,21.454511
1.698013,21.504719
2.637362,21.55521
6.941959,21.605347
1.726926,21.654689
6.973008,21.705328
6.90058,21.754795
1.697576,21.804699
6.921397,21.854983
6.900958,21.904536
3.406534,21.954187
3.393238,22.01341
6.755585,22.054896
6.741375,22.104718
6.730404,22.155087
6.186278,22.204779
5.866702,22.254599
6.465037,22.30465
6.272059,22.354468
6.475287,22.405102
6.119063,22.455036
6.355139,22.504863
6.192235,22.555009
6.247068,22.604649
5.713018,22.654334
6.167931,22.704488
6.133634,22.773753
3.107048,22.809788
6.05835,22.875254
6.051387,22.910895
6.021166,22.960366
5.892417,23.03405
5.84817,23.066011
3.31133,23.109455
3.099879,23.15996
2.424067,23.211529
3.549387,23.260329
3.343104,23.338475
2.770419,23.364893
2.862084,23.404445
2.843969,23.45463
3.294886,23.504675
2.637335,23.554465
3.289327,23.606904
2.936478,23.654701
2.953479,23.704931
2.458937,23.765101
2.593698,23.814667
2.124629,23.864598
2.302617,23.916538
2.384664,23.965253
2.286767,24.014794
2.258475,24.065507
1.663588,24.114782
1.557749,24.164872
1.861316,24.23743
2.191659,24.263215
1.889716,24.313558
1.998831,24.364227
1.994405,24.414234
1.984417,24.463682
1.973785,24.514102
1.925806,24.563616
1.90857,24.615563
1.887407,24.665064
1.886223,24.713727
1.866802,24.76397
1.845658,24.813992
1.850047,24.863551
1.840745,24.937067
1.837465,24.967493
1.817616,25.01519
1.826564,25.06365
1.81564,25.113575
1.806732,25.163756
1.795935,25.21404
1.788477,25.263754
0.413572,25.33964
0.41241,25.369056
0.41655,25.417194
0.415054,25.467767
0.424779,25.515891
0.430821,25.575427
0.442771,25.616237
0.45098,25.667516
0.465377,25.737969
0.461047,25.765214
0.458115,25.813577
0.464115,25.884376
0.465432,25.909788
0.480985,25.960086
0.489137,26.01098
0.497401,26.062324
0.510844,26.131431
0.519349,26.166993
0.536076,26.238761
0.550442,26.289222
0.557851,26.314669
0.565206,26.386772
0.562165,26.423278
0.564074,26.472623
0.57469,26.543994
0.589992,26.569701
0.59107,26.640489
0.594173,26.668645
0.605331,26.722477
0.602483,26.779362
0.605344,26.816529
0.611252,26.887477
0.631577,26.922947
0.631924,26.973011
0.638616,27.045347
0.670056,27.078773
0.66821,27.120833
0.670853,27.179088
0.154829,27.221279
0.06858,27.271667
0.312644,27.325322
0.141736,27.393538
0.190955,27.419335
0.093377,27.490126
0.039469,27.52597
0.082873,27.576624
0.10615,27.627476
0.05728,27.678664
0.054867,27.727578
0.119196,27.799527
0.0673,27.825505
0.077034,27.876388
0.062055,27.926914
0.047959,27.997573
0.072003,28.024014
0.023944,28.07346
0.033864,28.14631
0.039643,28.172351
0.042158,28.222637
0.067357,28.272512
0.067845,28.323378
0.01062,28.382821
0.05744,28.423157
0.079751,28.473602
