position_error,time
4.380629,20.284774
4.378581,20.325522
4.376581,20.375866
4.378655,20.425521
4.375818,20.475601
4.375942,20.52552
4.37389,20.575583
4.375753,20.647017
4.37447,20.672424
4.375554,20.742248
4.374823,20.777806
4.373847,20.827587
4.373549,20.87763
4.374053,20.927618
4.372842,20.998761
4.371882,21.024101
4.370622,21.075042
4.371024,21.124897
4.370706,21.174148
4.371953,21.224103
4.370335,21.274209
4.365819,21.325016
4.365131,21.376269
4.361911,21.43944
1.783154,21.50201
1.760249,21.55264
4.082212,21.597155
6.938595,21.643355
1.72851,21.689169
6.900554,21.759444
6.880301,21.803215
1.697642,21.855891
6.83196,21.901945
6.804629,21.953858
1.697346,21.996245
6.748478,22.047434
6.705675,22.099363
6.664226,22.147685
6.637121,22.191874
5.279997,22.227852
4.203737,22.27796
5.33778,22.327773
3.986133,22.377786
5.460889,22.428095
3.132597,22.478239
4.296707,22.527542
3.871451,22.585454
3.896568,22.635488
3.679739,22.68582
4.272968,22.735071
3.654982,22.78501
2.996521,22.838226
5.878996,22.877023
5.847718,22.927469
5.810852,22.978008
5.700732,23.030298
3.548081,23.077406
3.224643,23.136135
3.579057,23.185989
3.366485,23.232443
3.374739,23.286183
3.032061,23.336336
3.055275,23.387824
3.273195,23.427843
3.284128,23.477979
3.340972,23.527776
3.461516,23.578062
2.98544,23.627958
2.45354,23.677646
2.550531,23.735055
3.170315,23.785367
2.577974,23.827936
2.389749,23.885478
2.594561,23.929089
2.722369,23.978492
2.404139,24.028071
2.671218,24.077828
2.751666,24.13767
2.581509,24.187916
2.680325,24.237982
2.297732,24.287977
2.564588,24.338748
2.644016,24.388409
2.214043,24.438004
2.180771,24.487949
2.137785,24.53883
2.066377,24.592076
2.028555,24.640174
1.985109,24.690504
1.956617,24.740531
1.922214,24.789915
1.883723,24.860327
1.866327,24.896622
1.841465,24.936182
1.817201,25.008777
1.791939,25.034574
1.783567,25.086553
1.769647,25.139864
1.761367,25.212044
1.756857,25.238269
1.757354,25.313439
1.761481,25.347627
1.446016,25.388956
1.466059,25.461508
1.488572,25.487169
1.509065,25.53762
1.524707,25.617803
1.543328,25.633279
1.563423,25.707221
1.569891,25.732759
1.59587,25.784747
1.615462,25.85358
1.629474,25.908258
1.658055,25.937
1.673822,26.005236
1.697337,26.042132
1.720948,26.118958
1.741763,26.139641
1.76308,26.185183
1.769899,26.235
1.790156,26.299595
1.813153,26.344546
1.833116,26.416806
1.858054,26.442259
1.883592,26.514382
1.898654,26.539805
1.910648,26.590272
1.933197,26.643763
1.949417,26.690436
1.959697,26.762795
1.976838,26.796148
1.998718,26.840762
2.014695,26.892958
2.020589,26.940184
2.040329,26.989661
2.054675,27.058577
2.051786,27.094271
2.071718,27.156683
2.090759,27.194826
0.223373,27.244278
0.578077,27.294555
0.211835,27.344456
0.225242,27.405097
0.259102,27.467344
0.271506,27.494063
0.436382,27.543349
0.52374,27.618795
0.580715,27.647907
0.347023,27.694915
0.319345,27.744641
0.646048,27.820854
0.167525,27.848851
0.212914,27.896549
0.221754,27.946592
0.364186,27.999058
0.361457,28.046677
0.593411,28.0972
0.793606,28.149388
0.361516,28.219982
0.514867,28.24898
0.455745,28.295756
0.396057,28.345878
0.39685,28.397172
0.241472,28.44569
0.361537,28.495793
0.256638,28.565313
0.623388,28.601333
0.464334,28.651115
0.262803,28.701042
0.278713,28.751799
0.217673,28.821163
0.297272,28.86444
0.477488,28.920318
0.538687,28.950093
0.541593,28.996874
0.533837,29.052551
0.533887,29.113204
0.533641,29.158178
0.533412,29.208832
0.530835,29.260948
0.534164,29.31488
0.539647,29.356074
0.529522,29.430406
0.53093,29.456147
0.52312,29.506232
0.200427,29.564382
0.180193,29.606825
0.033914,29.676187
0.036528,29.703499
0.029755,29.752414
0.059432,29.802197
0.047499,29.85257
0.04164,29.902072
0.27312,29.951973
0.084616,30.004725
0.052455,30.052094
0.381182,30.102854
0.311062,30.152364
0.405439,30.202285
0.438436,30.252338
0.445599,30.301929
0.478162,30.35322
0.49611,30.402166
0.507906,30.453641
0.536335,30.502561
0.554059,30.576582
0.5623,30.60248
0.280761,30.652587
0.65711,30.702425
0.363994,30.752552
0.428532,30.802283
0.247626,30.869856
0.241114,30.933953
0.424631,30.963744
0.442631,31.010279
0.409352,31.059871
0.276192,31.117174
0.107251,31.167816
0.104735,31.229781
0.480305,31.266952
0.483123,31.305627
0.487436,31.355597
0.154036,31.405886
0.161524,31.459475
0.229682,31.505923
0.178422,31.555709
0.177711,31.629147
0.266321,31.657542
0.266174,31.707087
0.143027,31.755456
0.197985,31.805136
0.191365,31.855484
0.188438,31.907011
0.119473,31.970598
0.125031,32.005118
0.139663,32.055655
0.203733,32.105209
0.232363,32.171973
0.112118,32.227187
0.101154,32.272736
0.090719,32.322077
0.12191,32.365495
0.132587,32.415422
0.116478,32.464999
0.125037,32.538902
0.128901,32.565152
0.095786,32.622986
0.048826,32.674064
0.039276,32.715094
0.100469,32.766016
0.130914,32.822564
0.056585,32.873381
0.043898,32.914758
0.075265,32.964761
0.134598,33.022789
0.137875,33.086355
0.131407,33.119068
0.077697,33.169461
0.072816,33.212384
0.05528,33.264655
0.033457,33.321342
0.033871,33.375139
0.042501,33.412277
0.088918,33.462676
0.060175,33.520419
0.053811,33.570187
0.154144,33.624846
0.085768,33.674607
0.119272,33.724075
0.168573,33.769995
0.103489,33.820469
0.148469,33.871059
0.155818,33.915607
0.161357,33.965235
0.161995,34.032981
0.169746,34.070028
0.160565,34.118825
0.159449,34.191165
0.15635,34.220252
0.150008,34.269459
0.145902,34.340484
0.142226,34.366092
0.141444,34.440007
0.134856,34.465905
0.141576,34.538461
0.135304,34.564085
0.145859,34.629153
0.144162,34.664868
0.136743,34.732239
0.130734,34.768109
0.133679,34.839971
0.129172,34.88467
0.138892,34.920353
0.134046,34.970385
0.123417,35.042206
0.120362,35.067934
0.122679,35.135969
0.107524,35.161673
0.110878,35.233777
0.104117,35.272529
0.102253,35.320814
0.099286,35.369503
0.132036,35.420774
0.136031,35.473572
0.130855,35.519758
0.127069,35.570935
0.110348,35.641698
0.112529,35.667686
0.104589,35.719291
0.125878,35.770223
0.19804,35.825664
0.201722,35.889782
0.094499,35.918133
0.074658,35.974097
0.213448,36.01564
0.212342,36.086412
0.077059,36.122387
0.300169,36.172088
0.165305,36.222124
0.08814,36.290193
0.081722,36.333979
0.040277,36.386959
0.057978,36.422801
0.059567,36.482938
0.052221,36.522739
0.063242,36.588593
0.068287,36.617177
0.075841,36.671231
0.068715,36.721937
0.044933,36.783112
0.049185,36.819189
0.046189,36.868814
0.054792,36.927387
0.037845,36.976264
0.078375,37.019133
0.100761,37.070125
0.082197,37.118698
0.082513,37.177444
0.080826,37.218839
0.087856,37.270952
0.093539,37.325765
0.095743,37.368681
0.100834,37.425893
0.136805,37.47938
0.108098,37.518846
0.118032,37.568843
0.12116,37.618861
0.134053,37.674263
0.136107,37.719059
0.046442,37.776406
0.077126,37.826155
0.044412,37.878722
0.051678,37.919632
0.051931,37.970917
0.056593,38.018891
0.062957,38.073636
0.055933,38.119699
0.084751,38.173545
0.083628,38.220434
0.076016,38.26883
0.078469,38.320273
0.04841,38.368839
0.059159,38.424857
0.051215,38.469872
0.054624,38.522231
0.059346,38.573752
0.040706,38.619261
0.057127,38.67093
0.056135,38.719338
0.087606,38.783009
0.060642,38.826265
0.077276,38.876322
0.047948,38.926588
0.090261,38.978607
0.032825,39.030499
0.080203,39.06911
0.077836,39.122509
0.053567,39.176302
0.105168,39.228985
0.05095,39.279405
0.046913,39.330817
0.117265,39.386476
0.167385,39.435772
0.098188,39.486277
0.158973,39.53572
0.136029,39.587937
0.151091,39.628794
0.119759,39.67952
0.189641,39.729755
0.144112,39.779002
0.141981,39.837609
0.134149,39.8793
0.100779,39.929926
0.103998,39.979011
0.046077,40.029296
0.07118,40.089082
0.082174,40.129505
0.07491,40.180312
0.056312,40.230329
0.094211,40.28158
0.100712,40.329225
0.103019,40.381113
0.094884,40.436113
0.118816,40.480345
0.12557,40.529257
